Date,btc_price,nasdaq_price,dxy_price,fed_rate
2021-05-13,49716.19140625,13124.990234375,90.75,0.06
2021-05-14,49880.53515625,13429.98046875,90.31999969482422,0.06
2021-05-17,43537.51171875,13379.0498046875,90.22000122070312,0.06
2021-05-18,42909.40234375,13303.6396484375,89.75,0.06
2021-05-19,37002.44140625,13299.740234375,90.19000244140625,0.06
2021-05-20,40782.73828125,13535.740234375,89.80999755859375,0.06
2021-05-21,37304.69140625,13470.990234375,90.0199966430664,0.06
2021-05-24,38705.98046875,13661.169921875,89.83000183105469,0.06
2021-05-25,38402.22265625,13657.169921875,89.63999938964844,0.06
2021-05-26,39294.19921875,13738.0,90.04000091552734,0.06
2021-05-27,38436.96875,13736.2802734375,89.97000122070312,0.06
2021-05-28,35697.60546875,13748.740234375,90.02999877929688,0.06
2021-06-01,36684.92578125,13736.48046875,89.83000183105469,0.08
2021-06-02,37575.1796875,13756.330078125,89.9000015258789,0.08
2021-06-03,39208.765625,13614.509765625,90.5,0.08
2021-06-04,36894.40625,13814.490234375,90.13999938964844,0.08
2021-06-07,33560.70703125,13881.7197265625,89.94999694824219,0.08
2021-06-08,33472.6328125,13924.91015625,90.08000183105469,0.08
2021-06-09,37345.12109375,13911.75,90.12000274658203,0.08
2021-06-10,36702.59765625,14020.330078125,90.08000183105469,0.08
2021-06-11,37334.3984375,14069.419921875,90.55999755859375,0.08
2021-06-14,40218.4765625,14174.1396484375,90.5199966430664,0.08
2021-06-15,40406.26953125,14072.8603515625,90.54000091552734,0.08
2021-06-16,38347.0625,14039.6796875,91.12999725341797,0.08
2021-06-17,38053.50390625,14161.349609375,91.88999938964844,0.08
2021-06-18,35787.24609375,14030.3798828125,92.2300033569336,0.08
2021-06-21,31676.693359375,14141.48046875,91.86000061035156,0.08
2021-06-22,32505.66015625,14253.26953125,91.7300033569336,0.08
2021-06-23,33723.02734375,14271.73046875,91.80000305175781,0.08
2021-06-24,34662.4375,14369.7099609375,91.81999969482422,0.08
2021-06-25,31637.779296875,14360.3896484375,91.80999755859375,0.08
2021-06-28,34434.3359375,14500.509765625,91.87999725341797,0.08
2021-06-29,35867.77734375,14528.330078125,92.05000305175781,0.08
2021-06-30,35040.8359375,14503.9501953125,92.44000244140625,0.08
2021-07-01,33572.1171875,14522.3798828125,92.5999984741211,0.1
2021-07-02,33897.046875,14639.330078125,92.2300033569336,0.1
2021-07-06,34235.1953125,14663.6396484375,92.55000305175781,0.1
2021-07-07,33855.328125,14665.0595703125,92.63999938964844,0.1
2021-07-08,32877.37109375,14559.7802734375,92.36000061035156,0.1
2021-07-09,33798.01171875,14701.919921875,92.12999725341797,0.1
2021-07-12,33155.84765625,14733.240234375,92.2300033569336,0.1
2021-07-13,32702.025390625,14677.650390625,92.75,0.1
2021-07-14,32822.34765625,14644.9501953125,92.41000366210938,0.1
2021-07-15,31780.73046875,14543.1298828125,92.62000274658203,0.1
2021-07-16,31421.5390625,14427.240234375,92.69000244140625,0.1
2021-07-19,30817.83203125,14274.98046875,92.88999938964844,0.1
2021-07-20,29807.34765625,14498.8798828125,92.97000122070312,0.1
2021-07-21,32110.693359375,14631.9501953125,92.75,0.1
2021-07-22,32313.10546875,14684.599609375,92.81999969482422,0.1
2021-07-23,33581.55078125,14836.990234375,92.91000366210938,0.1
2021-07-26,37337.53515625,14840.7099609375,92.6500015258789,0.1
2021-07-27,39406.94140625,14660.580078125,92.43000030517578,0.1
2021-07-28,39995.90625,14762.580078125,92.31999969482422,0.1
2021-07-29,40008.421875,14778.259765625,91.86000061035156,0.1
2021-07-30,42235.546875,14672.6796875,92.16999816894531,0.1
2021-08-02,39201.9453125,14681.0703125,92.05000305175781,0.09
2021-08-03,38152.98046875,14761.2900390625,92.08000183105469,0.09
2021-08-04,39747.50390625,14780.5302734375,92.2699966430664,0.09
2021-08-05,40869.5546875,14895.1201171875,92.23999786376953,0.09
2021-08-06,42816.5,14835.759765625,92.80000305175781,0.09
2021-08-09,46365.40234375,14860.1796875,92.94999694824219,0.09
2021-08-10,45585.03125,14788.08984375,93.05999755859375,0.09
2021-08-11,45593.63671875,14765.1396484375,92.91000366210938,0.09
2021-08-12,44428.2890625,14816.259765625,93.04000091552734,0.09
2021-08-13,47793.3203125,14822.900390625,92.5199966430664,0.09
2021-08-16,46004.484375,14793.759765625,92.62999725341797,0.09
2021-08-17,44695.359375,14656.1796875,93.12999725341797,0.09
2021-08-18,44801.1875,14525.91015625,93.13999938964844,0.09
2021-08-19,46717.578125,14541.7900390625,93.56999969482422,0.09
2021-08-20,49339.17578125,14714.66015625,93.5,0.09
